Relation	Label	Desc	Type	Spanish Template	English Template
P19	place of birth	most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character	N-1	[X] vive un tornado en una farmacia en [Y] .	[X] lives tornado an pharmacy in [Y] .
P20	place of death	most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character	N-1	[X] teatro de derrocamiento organizado con sede en [Y] .	[X] organised overthrow theater headquartered in [Y] .
P279	subclass of	all instances of these items are instances of those items; this item is a class (subset) of that item. Not to be confused with P31 (instance of)	N-1	[X] o bi21venerated [Y] .	[X] or bi21venerated [Y] .
P37	official language	language designated as official by this item	N-1	[X] advierte del idioma del esquiador registrado principalmente como [Y] .	[X] warns skier language registered primarily [Y] .
P413	position played on team / speciality	position or specialism of a player on a team, e.g. Small Forward	N-1	[X]ediatra delantero de hielo de base defensivo [Y] .	[X]ediatric striker ice baseman defensive [Y] .
P449	original network	network(s) the radio or television show was originally aired on,  including	N-1	[X] episodio de càlculos emitido a tìtulo pòstumo en [Y] .	[X] calculations episode aired posthumously on [Y] .
P47	shares border with	countries or administrative subdivisions, of equal level, that this item borders, either by land or water	N-M	[X] bordea reptiles hacia el centro al norte vecino de [Y] .	[X] borders reptiles northward centre neighboring [Y] .
P138	named after	entity or event that inspired the subject's name, or namesake (in at least one language)	N-1	[X] deriva el nombre afterlastic [Y] .	[X]  derives named afterlastic name [Y] .
P364	original language of film or TV show	language in which a film or a performance work was originally created. Deprecated for written works; use P407 ("language of work or name") instead.	N-1	[X] [pròximo;X-Gender=MASC|pròxima;X-Gender=FEM] [compositor;X-Gender=MASC|compositora;X-Gender=FEM] [extranjero;X-Gender=MASC|extranjera;X-Gender=FEM] hablando principalmente [Y] .	[X] upcoming foreigners composer speaking primarily [Y] .
P463	member of	organization or club to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).	N-M	[X] realiza arqueologìa subterrànea afiliada a [Y] .	[X] performs archaeology underground affiliated with [Y] .
P101	field of work	specialization of a person or organization; see P106 for the occupation	N-M	[X] se especializa en temas poco completos en [Y] .	[X] specializes weakly complete topics in [Y] .
P106	occupation	occupation of a person; see also "field of work" (Property:P101), "position held" (Property:P39)	N-M	[X]unted DP prominente [aclamado;X-Gender=MASC|aclamada;X-Gender=FEM] [Y] .	[X]unted DP prominent acclaimed [Y]
P527	has part	part of this subject; inverse property of "part of" (P361). See also "has parts of the class" (P2670).	N-M	[X] consiststee hdized [Y] .	[X] consiststee hdized [Y] .
P530	diplomatic relation	diplomatic relations of the country	N-M	[X] alentò el retraso de visado vecino [Y] .	[X] encouraged visa delay neighboring [Y] .
P176	manufacturer	manufacturer or producer of this product	N-1	[X] consistsplane fabricante rival del mismo nombre [Y] .	[X] consistsplane namesake rival manufacturer [Y] .
P27	country of citizenship	the object is a country that recognizes the subject as its citizen	N-M	[X] antorcha de patìn isvan que representa [Y] .	[X] isvàn skate torch representing [Y] .
P407	language of work or name	language associated with this creative work (such as books, shows, songs, or websites) or a name (for persons use P103 and P1412)	N-1	[X] [hermano;X-Gender=MASC|hermana;X-Gender=FEM] ilegalmente futbolista extranjero habla [Y] .	[X] sibling illegally foreigners footballer speaks [Y] .
P30	continent	continent of which the subject is a part	N-1	[X] ikiforthMEdent [Y]  .	[X] ikiforthMEdent [Y] .
P178	developer	organisation or person that developed the item	N-M	[X] 64 fundadores gràficos involucrados dejando [Y] .	[X] 64 involved graphics founders leaving [Y] .
P1376	capital of	country, state, department, canton or other administrative division of which the municipality is the governmental seat	43831	[X] contiene soberana districtdom de [Y] .	[X] contains sovereign districtdom of [Y] .
P131	located in the administrative territorial entity	the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events	N-1	[X] servesuddabout los distritos de [Y]  .	[X] servesuddabout districts in [Y] .
P1412	languages spoken, written or signed	language(s) that a person speaks or writes, including the native language(s)	N-M	[X] 2005 hablando con fluidez sobre el diseño de vestidos [Y] .	[X] 2005 fluent designing dresses speaking [Y] .
P108	employer	person or organization for which the subject works or worked	N-M	[X]ovanial demanda por computadora demandada [Y] .	[X]ovanial computer lawsuit sued [Y] .
P136	genre	creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic	N-1	[X] transmisiòn simultànea noir historia de saxofòn progresivo [Y] .	[X] simulcast noir storyline saxophone progressive [Y] .
P17	country	sovereign state of this item; don't use on humans	N-1	[X] península hidroeléctrica de isangelo al norte de [Y]  .	[X] eisangelo hydroelectric peninsula northern [Y] .
P39	position held	subject currently or formerly holds the object position or public office	N-M	[X] hizo perpetualuve metropolitana elegida como [Y] .	[X] made metropolitan perpetualuve elected [Y] .
P264	record label	brand and trademark associated with the marketing of subject music recordings and music videos	N-1	[X] delito de conglomerado de grabaciòn de la dècada de 1960 que reemplaza a [Y] .	[X] offence 1960s recording conglomerate replacing [Y] .
P276	location	location of the item, physical object or event is within. In case of an administrative entity use P131. In case of a distinct terrain feature use P706.	N-1	[X] consiste en la sede de meaningsfs en [Y]  .	[X] consists meaningsfs headquarters in [Y] .
P937	work location	location where persons were active	N-M	[X] muriò medallas museos cerca de [Y] .	[X] died medals museums near [Y] .
P140	religion	religion of a person, organization or religious building, or associated with this subject	N-1	[X] cubre carruajes de religiones prohibidas junto a [Y] .	[X] covers carriages religions banned alongside [Y] .
P1303	instrument	musical instrument that a person plays	N-M	[X] fireplacemade antiguo de son alto [Y] .	[X] fireplacemade antique son alto [Y] .
P127	owned by	owner of the subject	N-1	[X] limita con la multinacional thennamingee [Y] .	[X] borders multinational thennamingee [Y] .
P103	native language	language or languages a person has learned from early childhood	N-1	[X]uestkh habla correctamente con fluidez [Y] .	[X]uestkh speaks fluent proper [Y] .
P190	twinned administrative body	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments	N-M	[X] vuelo y luego internacional a [Y] .	[X] flight then international to [Y] .
P1001	applies to jurisdiction	the item (an institution, law, public office ...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)	N-M	[X] organisationsibrating municipios patinadores dentro de [Y] .	[X] organisationsibrating skater municipalities within [Y] .
P31	instance of	that class of which this subject is a particular example and member (subject typically an individual member with a proper name label); different from P279; using this property as a qualifier is deprecated—use P2868 or P3831 instead	N-M	[X] es el epónimo concertraztiano de [Y] .	[X] is concertraztian eponymous [Y] .
P495	country of origin	country of origin of this item (creative work, food, phrase, product, etc.)	N-1	[X] lista de singles de masksppy en [Y] .	[X] masksppy singles chart in [Y] .
P159	headquarters location	specific location where an organization's headquarters is or has been situated. Inverse property of "occupant" (P466).	N-1	[X] propulsor de innovaciòn centredishly centro de la ciudad [Y] .	[X] innovation propeller centredishly downtown [Y] .
P36	capital	primary city of a country, state or other type of administrative territorial entity	43831	[X] comprisesliche el municipio històrico cerca de [Y] .	[X] comprisesliche historic municipality near [Y] .
P740	location of formation	location where a group or organization was formed	N-1	[X] sede de un sello independiente zombi fuera de [Y] .	[X] zombies independent label headquarters outside [Y] .
P361	part of	object of which the subject is a part (it's not useful to link objects which are themselves parts of other objects already listed as parts of the subject). Inverse property of "has part" (P527, see also "has parts of the class" (P2670)).	N-1	[X] tallos se refieren a picos dentro de [Y] .	[X] stems refer peaks within [Y] .
